       x [in]         y [in]         z [in]    Bx [Vs/m^2]    By [Vs/m^2]    Bz [Vs/m^2]  
     -0.84058       0.154737       -19.8142              0   2.36611e-005  -2.36531e-005
     -0.84058       0.154737        -19.711  -1.74939e-021   2.50145e-005  -8.36251e-006
     -0.84058       0.154737       -19.6078              0   2.50641e-005   8.36867e-006
     -0.84058       0.154737       -19.5047   9.24338e-022   2.36884e-005   2.36668e-005
     -0.84058       0.154737       -19.4015   7.50533e-022   2.12304e-005   3.49924e-005
     -0.84058       0.154737       -19.2984  -7.70719e-022   1.80953e-005   4.09436e-005
     -0.84058       0.154737       -19.1952  -3.13217e-022   1.49124e-005   4.14822e-005
     -0.84058       0.154737        -19.092              0   1.20444e-005   3.74623e-005
     -0.84058       0.154737       -18.9889   3.06232e-022   9.41871e-006   3.01617e-005
     -0.84058       0.154737       -18.8857              0    7.6458e-006   2.08721e-005
     -0.84058       0.154737       -18.7826     4.786e-022   6.57592e-006   1.06706e-005
     -0.84058       0.154737       -18.6794  -6.92588e-022   6.21331e-006              0
     -0.84058       0.257895       -20.6394              0   9.44084e-006   5.54562e-022
     -0.84058       0.257895       -20.5363  -4.01258e-022   9.97039e-006  -9.74268e-006
     -0.84058       0.257895       -20.4331    6.5171e-022   1.15682e-005  -1.90344e-005
     -0.84058       0.257895       -20.3299   1.11203e-022   1.42272e-005   -2.7361e-005
     -0.84058       0.257895       -20.2268              0   1.78348e-005  -3.40042e-005
     -0.84058       0.257895       -20.1236   4.23214e-022   2.22332e-005  -3.74599e-005
     -0.84058       0.257895       -20.0205   -1.8153e-022   2.69466e-005  -3.68925e-005
     -0.84058       0.257895       -19.9173  -4.19823e-022    3.1428e-005  -3.14162e-005
     -0.84058       0.257895       -19.8142  -1.24336e-021   3.50633e-005  -2.13016e-005
     -0.84058       0.257895        -19.711              0   3.69844e-005  -7.39207e-006
     -0.84058       0.257895       -19.6078   -1.1776e-021   3.70482e-005   7.60783e-006
     -0.84058       0.257895       -19.5047   1.18058e-021   3.51827e-005   2.12585e-005
     -0.84058       0.257895       -19.4015              0   3.14307e-005   3.14597e-005
     -0.84058       0.257895       -19.2984              0    2.6962e-005   3.68624e-005
     -0.84058       0.257895       -19.1952              0   2.21323e-005   3.76402e-005
     -0.84058       0.257895        -19.092   1.46857e-024   1.77648e-005   3.39097e-005
     -0.84058       0.257895       -18.9889   2.11679e-022   1.42304e-005   2.74215e-005
